timestamp_end,operator_id,game_name,fund_type,no_of_bets,stake_real_money,stake_free_money,payout_base_win,refund_total,adjustment_total,GGR,game_variant,total_transactions,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,transaction_types,transaction_classes,game_id,game_category,game_type,operator,brand_id,currency_code,revenue_amt,bets_won_cnt,bets_refunded_cnt,bets_adjusted_cnt,forfeit_amt,network_adjust_amt,tax_player_income_amt,slip_issued_cnt,slip_unclaimed_cnt,slip_unclaimed_amt,slips_expired_cnt,slips_expired_amt,period_type,period_start,fip_period_type,fip_period_start,report_date_time,status_date_time,seq_number,last_report,partition_id,report_id,source_type,source_file,total_stake,total_payout,total_bets,date,exclusion_reason,is_zero_stake,is_missing_operator,is_zero_payout,is_zero_bets,stake_to_payout_ratio,avg_stake_per_bet
2025-04-18,UG-OP-EDG-93556,VIP Roulette,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,42,2081605.0,1882742.0,0.0,0.0,RRI_wager|RRI_jackpotContrib|RRI_bonusWin|RRI_baseGameWin|RRI_jackpotWin,RRI_online,ABC_29_v1.0,RRI_casinoGame,RRI_other,EDG,UG-SI-BET-38382,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-18,,,2025-04-19T00:00:00.000Z,,1.0,true,1,32f8e375-ec19-4f46-a2dc-08dbcd539d46,gameSummary,UG-OP-EDG-93556_NLGRB-BM-46-349_20250418_001.zip,0.0,0.0,0.0,2025-04-18,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-18,UG-OP-KEF-84210,DG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,12,15623000.0,22550700.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,4,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-18,,,2025-04-19T09:30:50+08:00,,1.0,1,1,a6493995-9e4e-4f91-a348-1afa5a09b473,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250418_002.zip,0.0,0.0,0.0,2025-04-18,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-18,UG-OP-KEF-84210,DG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,12,15623000.0,22550700.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,4,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-18,,,2025-04-19T09:30:28+08:00,,1.0,1,1,a86ef7e3-6dec-4bb3-a183-2d8ba7a7b3d9,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250418_001.zip,0.0,0.0,0.0,2025-04-18,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-18,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,48581317.7,16286876.38,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-18,,,2025-04-19T00:55:01.255Z,,1.0,true,1,40a73e6f-0ceb-4b16-a8e8-759292c193f8,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250418_001.zip,0.0,0.0,0.0,2025-04-18,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-19,UG-OP-EDG-93556,Italian Roulette,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,154,16537536.0,12562488.0,0.0,0.0,RRI_wager|RRI_jackpotContrib|RRI_bonusWin|RRI_baseGameWin|RRI_jackpotWin,RRI_online,ABC_3_v1.0,RRI_casinoGame,RRI_other,EDG,UG-SI-BET-38382,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-19,,,2025-04-20T00:00:00.000Z,,1.0,true,1,a525e43f-60e5-4900-bccf-6bb061d29ffd,gameSummary,UG-OP-EDG-93556_NLGRB-BM-46-349_20250419_001.zip,0.0,0.0,0.0,2025-04-19,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-19,UG-OP-KEF-84210,DG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,12,74842000.0,89242200.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,4,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-19,,,2025-04-20T09:30:54+08:00,,1.0,1,1,b873b431-f3c9-453e-b192-b0fda699a047,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250419_001.zip,0.0,0.0,0.0,2025-04-19,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-19,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,78102340.75999999,13144455.16,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-19,,,2025-04-20T00:55:01.374Z,,1.0,true,1,31e8d8e2-41ef-4050-a26a-2747f76866fe,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250419_001.zip,0.0,0.0,0.0,2025-04-19,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-20,UG-OP-EDG-93556,Burning Classics go Wild,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,48,569778.0,463304.0,0.0,0.0,RRI_wager|RRI_jackpotContrib|RRI_bonusWin|RRI_baseGameWin|RRI_jackpotWin,RRI_online,ABC_6256ba20584e2d001065a312_v1.0,RRI_casinoGame,RRI_other,EDG,UG-SI-BET-38382,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-20,,,2025-04-21T00:00:00.000Z,,1.0,true,1,0ad5c57f-97c0-4552-90ae-8211de8f4db4,gameSummary,UG-OP-EDG-93556_NLGRB-BM-46-349_20250420_001.zip,0.0,0.0,0.0,2025-04-20,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-20,UG-OP-KEF-84210,DG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,3,38240000.0,43888050.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,4,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-20,,,2025-04-21T09:30:58+08:00,,1.0,1,1,0736f4ba-effb-4725-b03c-89fd0418ec70,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250420_001.zip,0.0,0.0,0.0,2025-04-20,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-20,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,54455069.52,15379052.42,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-20,,,2025-04-21T00:55:01.404Z,,1.0,true,1,da83e6dc-7807-41ac-94f8-76c36e09bab3,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250420_001.zip,0.0,0.0,0.0,2025-04-20,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-21,UG-OP-EDG-93556,Ultimate Roulette,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,118,776742.0,723948.0,0.0,0.0,RRI_wager|RRI_jackpotContrib|RRI_bonusWin|RRI_baseGameWin|RRI_jackpotWin,RRI_online,ABC_54_v1.0,RRI_casinoGame,RRI_other,EDG,UG-SI-BET-38382,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-21,,,2025-04-22T00:00:00.000Z,,1.0,true,1,9338f5b2-de0b-48ac-b19f-513fbf8b6336,gameSummary,UG-OP-EDG-93556_NLGRB-BM-46-349_20250421_001.zip,0.0,0.0,0.0,2025-04-21,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-21,UG-OP-KEF-84210,DG,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,3,4460000.0,6098000.0,0.0,0.0,RRI_wager|RRI_baseGameWin|RRI_jackpotContrib,RRI_online,4,RRI_casinoGame,CTG_cardGames,KEF,UG-SI-KEF-85539,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-21,,,2025-04-22T09:31:03+08:00,,1.0,1,1,370852c2-86f0-4068-a894-8f68e91a9942,gameSummary,UG-OP-KEF-84210_NLGRB-CS-08-016_20250421_002.zip,0.0,0.0,0.0,2025-04-21,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-21,UG-OP-RUB-27321,Betting,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CTG_football,6,52232998.0,13325574.98,0.0,0.0,RRI_wager|RRI_exchangeWin,RRI_online,bet,RRI_betExchange,RRI_sports,RUB,UG-SI-BAN-64328,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-21,,,2025-04-22T00:55:01.258Z,,1.0,true,1,2be5b0fd-2b7b-4042-8f5d-5bed98cbae63,gameSummary,UG-OP-RUB-27321_NLGRB-BM-12-663_20250421_001.zip,0.0,0.0,0.0,2025-04-21,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
2025-04-22,UG-OP-EDG-93556,Ultimate Roulette,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RRI_none,54,175368.0,156612.0,0.0,0.0,RRI_wager|RRI_jackpotContrib|RRI_bonusWin|RRI_baseGameWin|RRI_jackpotWin,RRI_online,ABC_54_v1.0,RRI_casinoGame,RRI_other,EDG,UG-SI-BET-38382,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,RRI_day,2025-04-22,,,2025-04-23T00:00:00.000Z,,1.0,true,1,c898c4ae-4540-4a61-8814-4003fa66ddd4,gameSummary,UG-OP-EDG-93556_NLGRB-BM-46-349_20250422_001.zip,0.0,0.0,0.0,2025-04-22,Missing from anomaly detection; Zero stake entry,1,1,1,1,,
