operator,tier,stake_real_money,expected_stake_regression,regression_r2,deviation_pct,anomaly_score_if,stake_z_score,anomaly_flagged_by
OP_0005,very_high,2615536.73,4183086.850503158,0.99718141510368,0.3747352556915252,-0.4258603550584527,-0.30256456767479334,none
OP_0005,very_high,2273313.0,2145565.3880108558,0.99718141510368,0.05954030238508764,-0.3563086176214677,-0.31436821577370394,none
OP_0005,very_high,2535319.19,2449223.5633301544,0.99718141510368,0.03515221230061304,-0.3565291090635073,-0.305331353056743,none
OP_0005,very_high,2651787.48,2577153.322713121,0.99718141510368,0.028959921254629654,-0.3547945002105969,-0.3013142420579181,none
OP_0005,very_high,2374136.84,2665414.687020816,0.99718141510368,0.10928049899296638,-0.3562167392846057,-0.3108906979307979,none
OP_0005,very_high,2724229.35,4159634.1470969263,0.99718141510368,0.34507957823615754,-0.3553590337680139,-0.29881564752414047,none
OP_0005,very_high,6151765.85,6024131.718792236,0.99718141510368,0.0211871415111342,-0.41183978631739204,-0.18059639168185404,none
OP_0005,very_high,2971029.8,5343648.786608018,0.99718141510368,0.4440072844147534,-0.40525117587841497,-0.2903032464044029,none
OP_0005,very_high,2245598.48,3050749.7047463153,0.99718141510368,0.26391913551402524,-0.3804010423029467,-0.3153241180464955,none
OP_0005,very_high,5825370.42,3337635.8650713544,0.99718141510368,0.7453582881712775,-0.36214921368042924,-0.19185410544943116,none
OP_0005,very_high,5731581.0,2401505.974262852,0.99718141510368,1.3866611457251619,-0.3611201021905472,-0.19508899891833503,none
OP_0005,very_high,16389196.2,6006190.142578134,0.99718141510368,1.7287175082614017,-0.4076361753122039,0.17250310053777296,none
OP_0005,very_high,4417134.76,3766752.6620082073,0.99718141510368,0.17266387160261476,-0.4651781252580315,-0.24042560039216074,none
OP_0005,very_high,5221107.32,6521450.607617613,0.99718141510368,0.19939479202659302,-0.4176612162582084,-0.21269576067759666,none
OP_0005,very_high,7784676.0,6155110.151261339,0.99718141510368,0.26475007086668,-0.41345047042555466,-0.12427564271526644,none
OP_0005,very_high,4349328.65,3078603.3540888648,0.99718141510368,0.4127603168571276,-0.3593847187931015,-0.24276430280007388,none
OP_0005,very_high,3439649.99,3295295.6024931446,0.99718141510368,0.043806202817629,-0.3506507408353519,-0.2741400545216991,none
OP_0005,very_high,4201616.97,4383531.128306124,0.99718141510368,0.04149945625603885,-0.3487159386507064,-0.24785903042407262,none
OP_0005,very_high,4200734.83,4965723.512769522,0.99718141510368,0.15405382132177284,-0.35499275548526,-0.24788945633911355,none
OP_0005,very_high,3672978.46,3968185.0519221285,0.99718141510368,0.07439335314746347,-0.3555161628341472,-0.2660923158352637,none
OP_0005,very_high,2678373.54,4788434.219035551,0.99718141510368,0.44065775627602605,-0.40229186065481437,-0.300397261530073,none
OP_0005,very_high,1728811.48,4295731.60226516,0.99718141510368,0.5975513276741057,-0.3992431633881193,-0.33314863269979467,none
OP_0005,very_high,3221432.48,2792849.82227169,0.99718141510368,0.15345710833091028,-0.35373043298304996,-0.2816666006705021,none
OP_0005,very_high,1686290.2,2708302.474475953,0.99718141510368,0.3773626779533585,-0.3592168733472975,-0.33461523533963866,none
OP_0005,very_high,628593.28,1515195.8061031518,0.99718141510368,0.5851405623827297,-0.3727919440314533,-0.37109628894448815,none
OP_0005,very_high,2819162.98,2154172.858596245,0.99718141510368,0.30869858876464185,-0.3600939305247155,-0.29554128907660615,none
OP_0005,very_high,3696841.85,4436040.927291063,0.99718141510368,0.1666348641518206,-0.3492828293482706,-0.265269242993392,none
OP_0005,very_high,2484683.11,4691918.457113417,0.99718141510368,0.47043344152049954,-0.4013680056883958,-0.3070778434869311,none
OP_0005,very_high,1946379.01,3443597.371707018,0.99718141510368,0.43478322233845684,-0.3974627224383519,-0.32564450502907716,none
OP_0005,very_high,1480953.52,2370654.444000582,0.99718141510368,0.37529760031123444,-0.35647382494346436,-0.3416975084260742,none
OP_0005,very_high,3291678.65,4018840.1224597525,0.99718141510368,0.18093814391767582,-0.3558991974119342,-0.27924373808591085,none
OP_0005,very_high,2575428.35,3903152.435993028,0.99718141510368,0.3401671105000623,-0.35226173758351587,-0.30394794691426746,none
OP_0005,very_high,1759866.5,2822559.376041455,0.99718141510368,0.376499741710251,-0.3552282672244619,-0.3320775131494799,none
OP_0005,very_high,863046.15,1325789.9957726859,0.99718141510368,0.3490325370142753,-0.3695740996283689,-0.3630097685466781,none
OP_0005,very_high,2400977.28,3931699.0547752418,0.99718141510368,0.3893283167021914,-0.3967225170916663,-0.3099649435753652,none
OP_0005,very_high,1395537.56,4045942.4317479283,0.99718141510368,0.6550772573901651,-0.3994667493990956,-0.3446435926554484,none
OP_0005,very_high,2284372.02,2767481.615425029,0.99718141510368,0.1745665057835743,-0.3604382967024937,-0.31398677881023324,none
OP_0005,very_high,5948875.33,3712918.917591487,0.99718141510368,0.6022098683100097,-0.35714673098316824,-0.18759429419634352,none
OP_0005,very_high,1591799.11,3246507.2706027757,0.99718141510368,0.5096887278171867,-0.3574215571634379,-0.3378743301278419,none
