operator,tier,stake_real_money,predicted_stake,deviation_pct,anomaly_type,anomaly_score,stake_z_score
OP_0020,high,14856710.0,8467064.49484536,0.7546470809386858,isolation_forest,-0.5565914706233095,1.8030860699038207
OP_0020,high,20917036.0,8467064.49484536,1.4703999848748077,isolation_forest,-0.594092723482902,3.51324188071691
OP_0020,high,16469155.0,8467064.49484536,0.9450843925927586,isolation_forest,-0.5934813285502358,2.2580999068437
OP_0020,high,20351240.0,8467064.49484536,1.4035768255207661,isolation_forest,-0.5704144865992303,3.353580615442599
OP_0020,high,13375098.0,8467064.49484536,0.5796617597684046,isolation_forest,-0.5424619927334182,1.3849918335260414
OP_0020,high,11930830.0,8467064.49484536,0.4090869400207516,isolation_forest,-0.5267120800251293,0.9774356537806945
OP_0020,high,5143406.0,8467064.49484536,0.39253964545430836,isolation_forest,-0.550947126660721,-0.937899031853745
OP_0020,high,11394742.0,8467064.49484536,0.345772434701185,isolation_forest,-0.5610200177109381,0.826157651853543
OP_0020,high,22983906.0,8467064.49484536,1.7145070188129907,isolation_forest,-0.5791463965815605,4.09648933979671
OP_0020,high,35105746.0,8467064.49484536,3.1461531350531136,isolation_forest,-0.6244182984714945,7.517136201656375
OP_0025,low,458129.0,128023.31982394167,2.578480862939825,isolation_forest,-0.5576362011545981,1.9116281997691682
OP_0025,low,74400.0,128023.31982394167,0.41885587639568117,isolation_forest,-0.5633249364741382,-0.3105304043420777
OP_0025,low,10407.673311592054,128023.31982394167,0.9187048630991234,isolation_forest,-0.6515219317147144,-0.6811072941464538
OP_0025,low,124790.0,128023.31982394167,0.025255709884637777,isolation_forest,-0.6616681151708999,-0.018724019989668318
OP_0025,low,514500.0,128023.31982394167,3.0187990805701888,isolation_forest,-0.5953382423251545,2.2380703051934523
OP_0025,low,500.0,128023.31982394167,0.9960944615349172,isolation_forest,-0.6297198094234218,-0.7384822162818088
OP_0025,low,659945.0,128023.31982394167,4.1548811646781205,isolation_forest,-0.6287173227685023,3.08033622248133
OP_0025,low,485920.0,128023.31982394167,2.7955585019060565,isolation_forest,-0.613932469130543,2.072564719466287
OP_0025,low,1749062.0,128023.31982394167,12.662057837629263,isolation_forest,-0.6785976486617334,9.387367258534972
OP_0025,low,278955.0,128023.31982394167,1.178938965054338,isolation_forest,-0.6573926747122112,0.8740390529154554
OP_0025,low,455728.0,128023.31982394167,2.5597264672304973,isolation_forest,-0.586805418997892,1.8977241090997867
OP_0025,low,1263878.0,128023.31982394167,8.872248288343808,isolation_forest,-0.5975760476760057,6.577686988925141
OP_0025,low,3075446.0,128023.31982394167,23.02254530057,isolation_forest,-0.67840826814594,17.068401576909373
OP_0025,low,583796.0,128023.31982394167,3.5600754675229425,isolation_forest,-0.6942216004682878,2.6393605455205917
OP_0025,low,500.0,128023.31982394167,0.9960944615349172,isolation_forest,-0.5897676173655078,-0.7384822162818088
OP_0017,zero,1669054015.0,1110449975.575,0.5030429571001163,isolation_forest,-0.6708917575997088,2.2015122871570503
OP_0017,zero,616081052.0,1110449975.575,0.44519693317928327,isolation_forest,-0.6323477603339668,-1.9483555127157188
OP_0017,zero,932468060.0,1110449975.575,0.16027909360152812,isolation_forest,-0.5670509973962713,-0.701443860723674
OP_0017,zero,1942318370.0,1110449975.575,0.7491273021949969,isolation_forest,-0.6520011045339072,3.2784734129552073
OP_0017,zero,2079198735.0,1110449975.575,0.8723929764808847,isolation_forest,-0.6419799217318456,3.817932106680786
OP_0017,zero,579651785.0,1110449975.575,0.4780027936874405,isolation_forest,-0.5794793443758667,-2.0919267604195095
OP_0017,zero,1940742070.0,1110449975.575,0.7477077875525802,isolation_forest,-0.5991244169132064,3.2722610629302813
OP_0017,zero,1732810004.0,1110449975.575,0.5604575101212793,isolation_forest,-0.5674032795656705,2.4527807765647336
OP_0017,zero,748399790.0,1110449975.575,0.32603916748931216,isolation_forest,-0.6334800006360337,-1.4268746300712503
OP_0017,zero,1746100035.0,1110449975.575,0.5724256593331503,isolation_forest,-0.5879561897434109,2.5051580679522343
OP_0017,zero,1471610305.0,1110449975.575,0.32523782013502067,isolation_forest,-0.5639334830946826,1.4233676213320294
OP_0017,zero,2172874685.0,1110449975.575,0.9567515266726606,isolation_forest,-0.7479471093598578,4.18711804230057
OP_0017,zero,916955910.0,1110449975.575,0.17424834061057748,isolation_forest,-0.6144362412521577,-0.7625787369776585
OP_0017,zero,538539690.0,1110449975.575,0.5150257086356909,isolation_forest,-0.5913217471563506,-2.253953484011472
OP_0015,low,2549483.0,666101.0927344599,2.827471577225512,isolation_forest,-0.6462214724272539,7.7736418280038455
OP_0015,low,1473007.0,666101.0927344599,1.2113865538833635,isolation_forest,-0.6028381265930042,3.330496851320986
OP_0015,low,1321936.0,666101.0927344599,0.9845876465586096,isolation_forest,-0.5524432065686177,2.706952661973099
OP_0015,low,1878039.0,666101.0927344599,1.8194504114838275,isolation_forest,-0.5969712078303326,5.002262776614083
OP_0015,low,2504106.0,666101.0927344599,2.7593482840873493,isolation_forest,-0.689651800601185,7.586348669952074
OP_0015,low,1428846.0,666101.0927344599,1.1450888094693565,isolation_forest,-0.6114832009709333,3.148222722296937
OP_0015,low,1759070.0,666101.0927344599,1.640845389967331,isolation_forest,-0.6382822991251715,4.511219302601673
OP_0015,low,1363029.0,666101.0927344599,1.0462794835008165,isolation_forest,-0.614891429774935,2.876563648680493
OP_0015,low,953959.0,666101.0927344599,0.43215348301536893,isolation_forest,-0.5565574779240068,1.1881309148232984
OP_0015,low,791471.031367477,666101.0927344599,0.1882145818412516,isolation_forest,-0.5843040097155451,0.5174632904628885
OP_0015,low,872740.0,666101.0927344599,0.3102215407232733,isolation_forest,-0.5432667605706643,0.8529002251830228
OP_0015,low,975611.0,666101.0927344599,0.46465905947541464,isolation_forest,-0.5917444733830967,1.2774993494517872
OP_0015,low,690971.9359524163,666101.0927344599,0.037337940875997164,isolation_forest,-0.55713057072365,0.10265418096616162
OP_0015,low,435208.0,666101.0927344599,0.3466337095869396,isolation_forest,-0.6461924949098163,-0.953009156854296
OP_0015,low,2045601.0,666101.0927344599,2.0710068221063187,isolation_forest,-0.6016139768525489,5.693873419659477
OP_0015,low,816753.0,666101.0927344599,0.226169734457405,isolation_forest,-0.6840582719535724,0.6218143878679845
OP_0015,low,708154.0,666101.0927344599,0.0631329203993731,isolation_forest,-0.5838849355892608,0.17357299528442305
OP_0015,low,699905.0,666101.0927344599,0.05074891429282787,isolation_forest,-0.6571400838746024,0.1395253222172512
OP_0015,low,334102.0,666101.0927344599,0.4984214803965361,isolation_forest,-0.5401867562407835,-1.3703232595491048
OP_0015,low,353543.0,666101.0927344599,0.46923521991437517,isolation_forest,-0.562184008394029,-1.2900807074701999
OP_0015,low,531231.0,666101.0927344599,0.20247691259714784,isolation_forest,-0.6331481188400283,-0.5566750907942833
OP_0015,low,2098631.0,666101.0927344599,2.150619362272411,isolation_forest,-0.5873891612446488,5.91275426615628
