date,expected_GGR,was_interpolated,actual_GGR,is_missing,deviation,deviation_pct,day_of_week,is_weekend,is_anomaly,anomaly_score
2025-03-28,900385472.0,0,1018273118.037,0,117887646.03699994,13.093019568067835,Friday,0,0,0.35146438555301857
2025-03-29,1908211200.0,0,1867778724.3510003,0,-40432475.64899969,-2.11886795596838,Saturday,1,0,0.4020401299156115
2025-03-30,-2985257216.0,0,-3622728252.706,0,-637471036.7059999,21.35397356346261,Sunday,1,1,0.6632005424746866
2025-03-31,455136608.0,0,433664369.51300013,0,-21472238.48699987,-4.717756846972826,Monday,0,0,0.3385410903358536
2025-04-01,2172111616.0,0,2549950893.41,0,377839277.40999985,17.39502126073064,Tuesday,0,0,0.4567313897301227
2025-04-02,2600547584.0,0,2728678117.623,0,128130533.62300014,4.927059762771876,Wednesday,0,0,0.3786408544967909
2025-04-03,-286789408.0,0,-426210279.6360002,0,-139420871.63600022,48.61437268840843,Thursday,0,0,0.3762371011119484
2025-04-04,216571040.0,0,63164498.88299952,0,-153406541.1170005,-70.83428195985968,Friday,0,0,0.370316477173567
2025-04-05,3770243584.0,0,3690430928.414001,0,-79812655.58599901,-2.116909791311749,Saturday,1,0,0.4515873520637408
2025-04-06,1901877760.0,0,2025861717.3250003,0,123983957.32500029,6.519028716388181,Sunday,1,0,0.4049443675804809
2025-04-07,320966048.0,0,317472523.3020001,0,-3493524.6979998946,-1.0884405748734816,Monday,0,0,0.33585373690817766
2025-04-08,1771204096.0,0,1942911629.062,0,171707533.06200004,9.694395662802263,Tuesday,0,0,0.3744242599739132
2025-04-09,973333504.0,0,960353801.385,0,-12979702.61500001,-1.3335308567576043,Wednesday,0,0,0.3365759833593349
2025-04-10,-25322440.0,0,-185332998.4200005,0,-160010558.4200005,631.8923390478977,Thursday,0,0,0.4899471385697735
2025-04-11,893346944.0,0,870357493.5839996,0,-22989450.416000366,-2.5734067341255007,Friday,0,0,0.3350746979163571
2025-04-12,2523348224.0,0,2513858081.832,0,-9490142.168000221,-0.3760932430069636,Saturday,1,0,0.4009396021631866
2025-04-13,44887944.0,0,-68307627.23500025,0,-113195571.23500025,-252.17365989184145,Sunday,1,1,0.5676318004465468
