operator,no_of_bets,game_type,stake_real_money,stake_free_money,movement_wager_amt,movement_win_amt,is_weekend
OP_0005,1964.0,RRI_slot,829141.04,0.0,10032077.42,7292940.3,0
OP_0006,1183805.0,CTG_multi,3736742370.77,0.0,19724152659.82,15742803846.590002,0
OP_0007,37722.0,RRI_roulette,121888305.0,0.0,3159126970.0,3053696850.0,0
OP_0001,65.0,RRI_sports,3604979.0,0.0,7286626.0,4909064.0,0
OP_0009,71.0,RRI_sports,97000.0,0.0,0.0,0.0,0
OP_0002,11147.0,CTG_multi,26458404.0,0.0,54673322.0,39617699.9,0
OP_0003,3375.0,RRI_sports,1001611.0,4900.0,1044594.0,967228.15,0
OP_0004,1023.0,CTG_multi,14388344.68,0.0,33251431.68,31105057.76,0
OP_0005,2175.0,RRI_slot,928292.0,0.0,6293950.22,3377456.2,0
OP_0006,915789.0,CTG_multi,3571037287.6,0.0,22425283633.56,15257283536.204,0
OP_0007,37067.0,RRI_roulette,119241317.0,0.0,3318070130.0,2926519810.0,0
OP_0001,113.0,RRI_sports,4299860.0,0.0,8707080.0,1191206.0,0
OP_0009,174.0,RRI_sports,296000.0,0.0,0.0,0.0,0
OP_0002,10866.0,CTG_multi,28833997.0,0.0,59801636.0,47178715.26,0
OP_0010,1677.0,CTG_virtualSports,1968675.92,0.0,322194618.54,260793969.46,0
OP_0003,3667.0,RRI_sports,812122.0,4000.0,832408.0,589956.6,0
OP_0004,1022.0,CTG_multi,13888997.82,0.0,72618707.64,66760892.559999995,0
OP_0005,1286.0,RRI_slot,906136.71,0.0,12768273.64,8775813.9,0
OP_0006,1364065.0,CTG_multi,4953600770.01,0.0,26256801771.959995,19349719052.351997,0
OP_0007,32530.0,RRI_roulette,109300311.0,0.0,3258757962.0,2881293164.0,0
OP_0001,115.0,RRI_sports,5278756.0,0.0,10884012.0,7292332.0,0
OP_0009,153.0,RRI_sports,270000.0,0.0,0.0,0.0,0
OP_0002,10209.0,CTG_multi,23435651.0,0.0,50705358.0,37613884.86,0
OP_0003,2929.0,RRI_sports,803060.0,5200.0,924940.0,166922.4,0
OP_0004,862.0,CTG_multi,8675679.82,0.0,28991028.82,26372373.57,0
OP_0005,2266.0,RRI_slot,2631001.47,0.0,12552707.88,8340696.62,0
OP_0006,1636876.0,CTG_multi,5900241591.09,0.0,27392499075.1,17359513527.441998,0
OP_0007,31968.0,RRI_roulette,89818705.0,0.0,2955772056.0,2663084268.0,0
OP_0001,92.0,RRI_sports,5440267.0,0.0,11304734.0,2460700.0,0
OP_0009,151.0,RRI_sports,252000.0,0.0,0.0,0.0,0
OP_0002,9071.0,CTG_multi,22381957.0,0.0,25490912.0,14919838.81,0
OP_0010,790.0,CTG_virtualSports,1884311.38,0.0,143826395.60999998,119763582.01,0
OP_0003,2299.0,RRI_sports,1016241.0,202000.0,2529936.0,1817824.0,0
OP_0004,784.0,CTG_multi,12278750.72,0.0,69756058.07999998,59714579.26,0
OP_0005,2328.0,RRI_slot,1370549.18,0.0,6336918.569999999,4489895.96,0
OP_0006,1823656.0,CTG_multi,5221862763.78,0.0,11736376989.159998,7041959806.976999,0
OP_0007,35955.0,RRI_roulette,101969120.0,0.0,3156558610.0,2917250612.0,0
OP_0001,78.0,RRI_sports,6825720.0,0.0,13750792.0,8372148.0,0
OP_0009,154.0,RRI_sports,254000.0,0.0,0.0,0.0,0
OP_0002,15306.0,CTG_multi,42951989.0,0.0,46794997.0,26507135.16,1
OP_0003,4007.0,RRI_sports,1118099.0,13000.0,2684598.0,1435719.66,1
OP_0004,1488.0,CTG_multi,16682341.84,0.0,81323121.68,67047730.120000005,1
OP_0005,1666.0,RRI_slot,1422669.72,0.0,6697774.659999999,4620242.47,1
OP_0006,1530282.0,CTG_multi,5822871299.28,0.0,15038668784.98,11002903992.289,1
OP_0007,39907.0,RRI_roulette,140030167.0,0.0,3447095008.0,3094841844.0,1
OP_0001,125.0,RRI_sports,6843520.0,0.0,13784240.0,8107870.0,1
OP_0009,220.0,RRI_sports,510500.0,0.0,0.0,0.0,1
OP_0002,12652.0,CTG_multi,31954094.0,0.0,66591242.0,39391049.5,1
OP_0010,989.0,CTG_virtualSports,1027304.51,0.0,338903380.44,300503141.56,1
OP_0003,5270.0,RRI_sports,2369570.0,3390.0,5068210.0,2235038.56,1
OP_0004,1159.0,CTG_multi,12452377.58,0.0,51109507.16,54863751.0,1
OP_0005,3033.0,RRI_slot,1786125.62,0.0,10726161.64,7232079.12,1
OP_0006,1930428.0,CTG_multi,7110274323.73,0.0,31142277457.199993,21591807090.817997,1
OP_0007,38102.0,RRI_roulette,109501555.0,0.0,1954935545.0,1831828475.0,1
OP_0001,94.0,RRI_sports,981264.0,0.0,1070921.0,225190.0,1
OP_0009,204.0,RRI_sports,456500.0,0.0,0.0,0.0,1
OP_0002,6796.0,CTG_multi,16833938.0,0.0,39384360.0,41401588.96,0
OP_0003,1722.0,RRI_sports,1029755.0,40600.0,2107672.0,1004049.92,0
OP_0004,710.0,CTG_multi,9600790.81,0.0,61244091.620000005,47974683.74,0
OP_0005,1574.0,RRI_slot,1759531.92,0.0,11424906.06,8199026.42,0
OP_0006,1687023.0,CTG_multi,4584547118.2,0.0,21171381757.959995,12963552866.25,0
OP_0007,34577.0,RRI_roulette,126272906.0,0.0,1556425781.0,1442321236.0,0
OP_0001,50.0,RRI_sports,1280467.0,0.0,17418867.0,15928466.0,0
OP_0009,91.0,RRI_sports,352900.0,0.0,0.0,0.0,0
OP_0002,8383.0,CTG_multi,21144418.0,0.0,49156412.0,28673395.62,0
OP_0010,1257.0,CTG_virtualSports,1763608.73,0.0,250342757.72,350363778.12,0
OP_0003,1523.0,RRI_sports,676020.0,0.0,1985536.0,1886248.0,0
OP_0004,835.0,CTG_multi,14795712.9,0.0,42905451.9,40352636.5,0
OP_0005,1813.0,RRI_slot,2727590.86,0.0,11142829.939999998,7583320.419999999,0
OP_0006,710080.0,CTG_multi,2319467010.31,0.0,18185174543.159996,13070972759.301998,0
OP_0007,761.0,RRI_roulette,3216899.0,0.0,147968618.0,159357836.0,0
OP_0001,58.0,RRI_sports,5263792.0,0.0,16144176.0,9726284.0,0
OP_0009,117.0,RRI_sports,223000.0,0.0,0.0,0.0,0
OP_0002,13033.0,CTG_multi,33534105.0,0.0,71957884.0,30529485.26,0
OP_0010,1002.0,CTG_virtualSports,1103832.88,0.0,322756240.34,288314734.82000005,0
OP_0003,240.0,RRI_sports,125133.0,200.0,858958.0,272606.3,0
OP_0004,1209.0,CTG_multi,11166553.79,0.0,36512503.79,39436424.25,0
OP_0005,2135.0,RRI_slot,3451970.83,0.0,15703475.88,11694074.260000002,0
OP_0006,792495.0,CTG_multi,3079483440.54,0.0,25556354071.8,15127914869.687998,0
OP_0007,26778.0,RRI_roulette,82738246.0,68535.0,3359504640.0,2897487132.0,0
OP_0001,93.0,RRI_sports,6528615.0,0.0,14850630.0,5940236.0,0
OP_0009,279.0,RRI_sports,515500.0,0.0,0.0,0.0,0
OP_0002,11937.0,CTG_multi,29791251.0,0.0,61455952.0,61086219.72,0
OP_0003,11822.0,RRI_sports,2481160.0,10400.0,5025520.0,4442206.3,0
OP_0004,778.0,CTG_multi,7680396.22,0.0,37886610.22,34643363.74,0
OP_0005,2114.0,RRI_slot,2686414.71,0.0,11773538.76,8733924.8,0
OP_0006,1865754.0,CTG_multi,6635895682.79,0.0,31620231261.979996,24829967344.732,0
OP_0001,90.0,RRI_sports,7312456.0,0.0,15034032.0,5309464.0,0
OP_0009,225.0,RRI_sports,366000.0,0.0,0.0,0.0,0
OP_0002,10156.0,CTG_multi,26126689.0,0.0,59344294.0,40099851.7,0
OP_0003,1771.0,RRI_sports,717884.0,9200.0,1028891.0,543792.75,0
OP_0004,981.0,CTG_multi,11881295.55,0.0,62215169.76,47985408.25,0
OP_0005,1816.0,RRI_slot,1101644.9,0.0,12051814.02,7148098.78,0
OP_0006,1718407.0,CTG_multi,5934040609.78,0.0,26325217172.02,19549939480.878,0
OP_0007,42433.0,RRI_roulette,202558267.0,39717.0,3357869870.0,3167360078.0,0
OP_0001,89.0,RRI_sports,6154577.0,0.0,20289314.0,15202456.0,0
OP_0009,178.0,RRI_sports,350000.0,0.0,0.0,0.0,0
OP_0002,16189.0,CTG_multi,43931932.0,0.0,92924860.0,55992539.14,1
OP_0010,1986.0,CTG_virtualSports,1736674.5,0.0,488198787.6400001,376472298.16,1
OP_0003,2563.0,RRI_sports,1122082.0,53400.0,1320168.0,758140.74,1
OP_0004,1688.0,CTG_multi,26482450.25,0.0,135573064.04,130692535.96,1
OP_0005,2258.0,RRI_slot,1667650.13,0.0,10731628.36,5578170.46,1
OP_0006,1625335.0,CTG_multi,6382741256.44,0.0,33921347350.660004,22667664648.766003,1
OP_0007,39622.0,RRI_roulette,129880283.0,52832.0,3602550446.0,3157802792.0,1
OP_0001,127.0,RRI_sports,7689651.0,0.0,15380102.0,12938672.0,1
OP_0009,279.0,RRI_sports,659400.0,0.0,0.0,0.0,1
OP_0002,13990.0,CTG_multi,37132891.0,0.0,81646398.0,57328500.14,1
OP_0003,8195.0,RRI_sports,2884341.0,50300.0,5807092.0,1410368.48,1
OP_0004,1268.0,CTG_multi,16835432.64,0.0,58794718.69,55750681.72,1
OP_0005,1129.0,RRI_slot,902726.19,0.0,9546414.6,5658553.08,1
OP_0006,2423945.0,CTG_multi,8870345781.3,0.0,35601158700.76,20542150136.643997,1
OP_0001,113.0,RRI_sports,6061271.0,0.0,12405822.0,4428852.0,1
OP_0009,257.0,RRI_sports,544000.0,0.0,0.0,0.0,1
OP_0002,7932.0,CTG_multi,23498460.0,0.0,50418936.0,49716314.32,0
OP_0003,2796.0,RRI_sports,683376.0,108100.0,1447220.0,1215256.72,0
OP_0004,708.0,CTG_multi,13055005.61,0.0,43566104.61,63758614.599999994,0
OP_0005,1537.0,RRI_slot,1577548.93,0.0,11047219.119999995,8532218.74,0
OP_0006,1261075.0,CTG_multi,3909378528.14,0.0,20671539738.58,13894958594.719995,0
OP_0007,33111.0,RRI_roulette,114059477.0,37627.0,3198258876.0,2975140452.0,0
OP_0001,47.0,RRI_sports,4987051.0,0.0,11086622.0,4748108.0,0
OP_0009,104.0,RRI_sports,227500.0,0.0,0.0,0.0,0
OP_0002,8961.0,CTG_multi,22701457.0,0.0,47663002.0,39472042.62,0
OP_0010,1190.0,CTG_virtualSports,1166237.18,0.0,96477645.48,46572104.76,0
OP_0003,1943.0,RRI_sports,717262.0,400.0,1683340.0,184060.48,0
OP_0004,836.0,CTG_multi,18074932.5,0.0,87220065.9,69214914.44,0
