operator,no_of_bets,game_type,stake_real_money,stake_free_money,payout_base_win,refund_total,adjustment_total,revenue_amt,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,is_weekend
OP_0004,1417.0,CTG_multi,12659640.77,0.0,6996764.58,0.0,0.0,0.0,54514811.54,39973876.98,0.0,0.0,1
OP_0005,1859.0,RRI_slot,893231.0,0.0,755243.17,9438.0,0.0,128549.83,11059888.619999995,6109873.18,116284.2,0.0,1
OP_0006,1971838.0,CTG_multi,6623257499.35,0.0,4786957669.358,9690.0,0.0,1836290139.992,30170672832.92,20415596082.952003,24577799.34,0.0,1
OP_0007,33501.0,RRI_roulette,103556389.0,0.0,91225420.0,0.0,0.0,12330969.0,1840463112.0,1662882975.0,0.0,0.0,1
OP_0001,164.0,RRI_sports,7791139.0,0.0,4919402.0,0.0,0.0,2871737.0,7893201.0,4999576.0,0.0,0.0,1
OP_0009,210.0,RRI_sports,458000.0,0.0,55777.0,0.0,0.0,402223.0,0.0,0.0,0.0,0.0,1
OP_0002,12105.0,CTG_multi,31795462.0,0.0,26728559.58,2000.0,0.0,5064902.42,67134358.0,53457119.16,4000.0,0.0,1
OP_0003,3548.0,RRI_sports,837458.0,9200.0,921069.12,0.0,0.0,-74411.12,1727424.0,1842138.24,0.0,0.0,1
OP_0004,1122.0,CTG_multi,15775614.44,0.0,25940643.16,0.0,0.0,0.0,61114028.08,81760165.52,0.0,0.0,1
OP_0005,2126.0,RRI_slot,1324132.02,0.0,1139758.65,16592.0,0.0,167781.37,8719778.9,4953067.7,122632.2,0.0,1
OP_0006,2064681.0,CTG_multi,6800766342.65,0.0,6237002611.916,12510.0,0.0,563751220.734,28385554099.519993,22558351478.535995,2022472.4,0.0,1
OP_0007,36917.0,RRI_roulette,113783618.0,0.0,107710975.0,0.0,0.0,6072643.0,1813021993.0,1684060029.0,0.0,0.0,1
OP_0001,98.0,RRI_sports,5536029.0,0.0,4612528.0,0.0,0.0,923501.0,6376056.0,5484322.0,0.0,0.0,1
OP_0009,172.0,RRI_sports,445500.0,0.0,64463.0,0.0,0.0,381037.0,0.0,0.0,0.0,0.0,1
OP_0002,6767.0,CTG_multi,16995748.0,0.0,21256561.53,0.0,0.0,-4260813.53,37706446.0,42513123.06,0.0,0.0,0
OP_0003,1559.0,RRI_sports,377734.0,0.0,1003919.42,0.0,0.0,-626185.42,975768.0,2007838.84,0.0,0.0,0
OP_0004,642.0,CTG_multi,11345179.9,0.0,12359314.59,0.0,0.0,0.0,25490236.9,25811115.83,0.0,0.0,0
OP_0005,1964.0,RRI_slot,829141.04,0.0,822372.09,31430.0,0.0,-24661.05,10032077.42,7292940.3,150828.2,0.0,0
OP_0006,1183805.0,CTG_multi,3736742370.77,0.0,3684574886.407,0.0,0.0,52167484.363,19724152659.82,15742803846.590002,9447231.74,0.0,0
OP_0007,37722.0,RRI_roulette,121888305.0,0.0,118451702.0,0.0,0.0,3436603.0,3159126970.0,3053696850.0,0.0,0.0,0
OP_0001,65.0,RRI_sports,3604979.0,0.0,2435230.0,0.0,0.0,1169749.0,7286626.0,4909064.0,0.0,0.0,0
OP_0009,71.0,RRI_sports,97000.0,0.0,190302.0,0.0,0.0,-93302.0,0.0,0.0,0.0,0.0,0
OP_0002,11147.0,CTG_multi,26458404.0,0.0,19808849.95,0.0,0.0,6649554.05,54673322.0,39617699.9,0.0,0.0,0
OP_0003,3375.0,RRI_sports,1001611.0,4900.0,967228.15,0.0,0.0,39282.85,1044594.0,967228.15,0.0,0.0,0
OP_0004,1023.0,CTG_multi,14388344.68,0.0,14095423.76,0.0,0.0,0.0,33251431.68,31105057.76,0.0,0.0,0
OP_0005,2175.0,RRI_slot,928292.0,0.0,870422.84,11569.0,0.0,46300.16,6293950.22,3377456.2,110706.2,0.0,0
OP_0006,915789.0,CTG_multi,3571037287.6,0.0,3658292849.087,1102.0,0.0,-87256663.487,22425283633.56,15257283536.204,6047035.04,0.0,0
OP_0007,37067.0,RRI_roulette,119241317.0,0.0,100598437.0,0.0,0.0,18642880.0,3318070130.0,2926519810.0,0.0,0.0,0
OP_0001,113.0,RRI_sports,4299860.0,0.0,559679.0,0.0,0.0,3740181.0,8707080.0,1191206.0,0.0,0.0,0
OP_0009,174.0,RRI_sports,296000.0,0.0,52639.0,0.0,0.0,243361.0,0.0,0.0,0.0,0.0,0
OP_0002,10866.0,CTG_multi,28833997.0,0.0,23589357.63,0.0,0.0,5244639.37,59801636.0,47178715.26,0.0,0.0,0
OP_0010,1677.0,CTG_virtualSports,1968675.92,0.0,1694468.71,0.0,0.0,274207.21,322194618.54,260793969.46,1972438.0,0.0,0
OP_0003,3667.0,RRI_sports,812122.0,4000.0,589956.6,0.0,0.0,226165.4,832408.0,589956.6,0.0,0.0,0
OP_0004,1022.0,CTG_multi,13888997.82,0.0,12707424.29,0.0,0.0,0.0,72618707.64,66760892.559999995,0.0,0.0,0
OP_0005,1286.0,RRI_slot,906136.71,0.0,948421.37,3620.0,0.0,-45904.66,12768273.64,8775813.9,95408.2,0.0,0
OP_0006,1364065.0,CTG_multi,4953600770.01,0.0,5296956985.187,0.0,0.0,-343356215.177,26256801771.959995,19349719052.351997,893662.04,0.0,0
OP_0007,32530.0,RRI_roulette,109300311.0,0.0,97897842.0,0.0,0.0,11402469.0,3258757962.0,2881293164.0,0.0,0.0,0
OP_0001,115.0,RRI_sports,5278756.0,0.0,3515497.0,0.0,0.0,1763259.0,10884012.0,7292332.0,0.0,0.0,0
OP_0009,153.0,RRI_sports,270000.0,0.0,55529.0,0.0,0.0,214471.0,0.0,0.0,0.0,0.0,0
OP_0002,10209.0,CTG_multi,23435651.0,0.0,18806942.43,2500.0,0.0,4626208.57,50705358.0,37613884.86,5000.0,0.0,0
OP_0003,2929.0,RRI_sports,803060.0,5200.0,166922.4,0.0,0.0,641337.6,924940.0,166922.4,0.0,0.0,0
OP_0004,862.0,CTG_multi,8675679.82,0.0,5596887.57,0.0,0.0,0.0,28991028.82,26372373.57,0.0,0.0,0
OP_0005,2266.0,RRI_slot,2631001.47,0.0,2165995.17,31550.0,0.0,433456.3,12552707.88,8340696.62,151468.2,0.0,0
OP_0006,1636876.0,CTG_multi,5900241591.09,0.0,4321194387.501,264615.08,0.0,1578782588.509,27392499075.1,17359513527.441998,10305842.12,0.0,0
OP_0007,31968.0,RRI_roulette,89818705.0,0.0,74695382.0,0.0,0.0,15123323.0,2955772056.0,2663084268.0,0.0,0.0,0
OP_0001,92.0,RRI_sports,5440267.0,0.0,1034800.0,0.0,0.0,4405467.0,11304734.0,2460700.0,0.0,0.0,0
OP_0009,151.0,RRI_sports,252000.0,0.0,102888.0,0.0,0.0,149112.0,0.0,0.0,0.0,0.0,0
