operator,tier,payout_base_win,predicted_payout,regression_r2,deviation_pct,anomaly_score_if,payout_z_score,no_of_bets,stake_real_money,stake_free_money,refund_total,adjustment_total,revenue_amt,movement_wager_amt,movement_win_amt,movement_refund_amt,movement_adjustment_amt,game_type,is_weekend,anomaly_flagged_by
OP_0005,noise,372248507.9,306013976.8103559,1.0,0.2164428297688219,-0.7245565946558743,63.59141612237751,334371.0,391099409.16,0.0,1756638.85,0.0,17094262.41,3668135376.479999,3544160113.6195984,10256359.9,0.0,RRI_slot,0,isolation_forest
OP_0005,noise,384376218.83,312179265.0288351,1.0,0.23126761412067595,-0.7628952638225615,65.69426492409757,341100.0,404240693.86,0.0,1787329.85,0.0,18077145.18,3730302547.26,3601871949.6195984,10350741.9,0.0,RRI_slot,1,isolation_forest
OP_0024,noise,2813166.79,4201873.967268597,1.0,0.3304971039317769,-0.5594224060894921,-1.5447119496692987,704.0,2541221.76,0.0,0.0,0.0,-271945.03,5329467.35,5165452.54,0.0,0.0,RRI_sports,0,isolation_forest
OP_0024,noise,22902084.29,24965496.90853814,1.0,0.08265057275236765,-0.5817887274568209,3.1461001160169504,3454.0,20091007.25,0.0,0.0,0.0,-2811077.04,42306473.470000006,44123886.08,0.0,0.0,RRI_sports,0,isolation_forest
OP_0024,noise,17421644.44,14910489.749499386,1.0,0.16841530578061167,-0.5908227478964221,1.866403817117434,2216.0,14110457.53,0.0,0.0,0.0,-3311186.91,79843817.0,79644119.80000001,0.0,0.0,RRI_sports,1,isolation_forest
OP_0024,noise,20915842.42,18615223.279210284,1.0,0.1235880497527568,-0.574155809649826,2.6823077126100867,3781.0,25719671.94,0.0,0.0,0.0,4803829.52,63301800.46,51261441.74000001,0.0,0.0,RRI_sports,1,isolation_forest
OP_0024,noise,14385845.22,10967115.902464075,1.0,0.31172546619734465,-0.570231245385881,1.1575371691172662,4286.0,21039875.23,0.0,0.0,0.0,6654030.01,57321671.8,41572412.0,0.0,0.0,RRI_sports,1,isolation_forest
OP_0024,noise,24957655.56,22844016.92709785,1.0,0.09252482344271622,-0.5977889590047537,3.626081106291514,4014.0,22273452.11,0.0,0.0,0.0,-2684203.45,56778343.78,60620931.5,0.0,0.0,RRI_sports,1,isolation_forest
OP_0024,noise,14118835.66,10356732.215400446,1.0,0.36325197623680094,-0.564596044452507,1.095189774554987,3271.0,18023111.68,0.0,0.0,0.0,3904276.02,109272005.84000002,89689977.55999999,0.0,0.0,RRI_sports,1,isolation_forest
OP_0024,noise,29410032.54,27684822.64287795,1.0,0.06231608991599829,-0.7165464664865228,4.665722174993583,3648.0,29756613.39,0.0,0.0,0.0,346580.85,185059115.78,147727178.76,0.0,0.0,RRI_sports,0,isolation_forest
OP_0024,noise,17198368.92,19621691.41039449,1.0,0.12350222209236995,-0.6784625685825524,1.8142684293749949,3446.0,26900344.26,0.0,0.0,0.0,9701975.34,185059115.78,147727178.76,0.0,0.0,RRI_sports,0,isolation_forest
OP_0024,noise,4727209.25,-3105186.4670407716,1.0,0.0,-0.5985662686878076,-1.0977782875840325,2214.0,11899833.25,0.0,0.0,0.0,7172624.0,228685033.46000007,155699518.66,0.0,0.0,RRI_sports,0,isolation_forest
OP_0024,noise,7969899.97,-458576.32990921475,1.0,0.0,-0.5612939103862865,-0.34060196115107116,1893.0,13162373.83,0.0,0.0,0.0,5192473.86,228685033.46000007,155699518.66,0.0,0.0,RRI_sports,0,isolation_forest
OP_0024,noise,10621020.52,2670074.48026578,1.0,2.977799345485966,-0.5609346438042532,0.27844126323017115,2310.0,16634621.39,0.0,0.0,0.0,6013600.87,228685033.46000007,155699518.66,0.0,0.0,RRI_sports,0,isolation_forest
OP_0024,noise,15517668.27,6470807.359338475,1.0,1.3981038853838486,-0.5991427750913094,1.4218206587160367,3499.0,19965948.54,0.0,0.0,0.0,4448280.27,228685033.46000007,155699518.66,0.0,0.0,RRI_sports,0,isolation_forest
OP_0024,noise,7074898.24,3627151.163683905,1.0,0.9505385689011102,-0.5665471746979631,-0.5495870851078032,2129.0,14182875.82,0.0,0.0,0.0,7107977.58,213673369.06000003,157619121.88000005,0.0,0.0,RRI_sports,0,isolation_forest
OP_0024,noise,14118835.66,8898498.872566236,1.0,0.586653643742978,-0.5684897206944141,1.095189774554987,3271.0,18023111.68,0.0,0.0,0.0,3904276.02,213673369.06000003,157619121.88000005,0.0,0.0,RRI_sports,0,isolation_forest
OP_0024,noise,31093622.27,28736775.457983762,1.0,0.08201500601423425,-0.6613772790372568,5.058844552998743,3582.0,28716493.37,0.0,0.0,0.0,-2377128.9,35766277.81,37369794.53,0.0,0.0,RRI_sports,1,isolation_forest
OP_0007,noise,94241463.0,15525098.415323392,1.0,5.070265094550573,-0.5272837575192113,-1.3406727339187987,38102.0,109501555.0,0.0,0.0,0.0,15260092.0,1954935545.0,1831828475.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,2643911.0,-87449215.05538264,1.0,0.0,-0.7048812928785764,-3.0009136454640735,761.0,3216899.0,0.0,0.0,0.0,572988.0,147968618.0,159357836.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,67865481.0,-23462276.810579106,1.0,0.0,-0.5437507376640024,-1.8187475671696016,13919.0,72276994.0,15200.0,0.0,0.0,4411513.0,1574217403.0,1411222726.0,0.0,0.0,RRI_roulette,0,isolation_forest
OP_0007,noise,62357050.0,-37952555.222900555,1.0,0.0,-0.5542152930452434,-1.918590000782066,20025.0,71243429.0,152106.0,0.0,0.0,8886379.0,1774352710.0,1589911208.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,63398465.0,-10710533.148230046,1.0,0.0,-0.5299734438872531,-1.8997139527748341,19839.0,71171844.0,78174.0,0.0,0.0,7773379.0,3316494534.0,3042657796.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,102374902.0,11136288.819747522,1.0,8.192910102911735,-0.5323137953289016,-1.1932510192057473,25319.0,103346274.0,129296.0,0.0,0.0,971372.0,2104164074.0,1925645624.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,108442518.0,14020854.1132918,1.0,6.734373178963203,-0.5347726573758553,-1.0832731420814035,28296.0,115309813.0,149383.0,0.0,0.0,6867295.0,1366229758.0,1256518958.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,143883567.0,216960887.52326107,1.0,0.3368225552424799,-0.5378850912576381,-0.44089047777307394,26995.0,144097964.0,170425.0,0.0,0.0,214397.0,8193110650.0,7893396120.0,0.0,0.0,RRI_roulette,1,isolation_forest
OP_0007,noise,322412889.0,349043684.4466491,1.0,0.07629645409246635,-0.6088837659627324,2.7950222494015553,27835.0,314866379.0,113347.0,0.0,0.0,-7546510.0,4935586240.0,4778371956.0,0.0,0.0,RRI_roulette,0,isolation_forest
